Invoice number,Payment due,Payment paid,Late<30,30<Late<60,60<Late<90,90<Late
10866,-9000,0,0,0,0,0
10897,-5900,0,0,0,0,0
10901,-8000,0,0,0,0,0
11617,11100,0,0,0,0,0
103582,-11100,0,0,0,0,0
11589,1000,0,0,0,0,0
10876,-1000,0,0,0,0,0
10832,-5000,0,0,0,0,0
10903,-20000,0,0,0,0,0
11550,512,0,0,0,0,0
10892,-15000,1685,0,0,0,1685
103538,-14453,0,0,0,0,0
10794,-20000,0,0,0,0,0
10796,-17000,0,0,0,0,0
total due: 356950, total paid: 28292
11-2017
56425,1904,0,0,0,0,0
11738,4644,3051,3051,0,0,0
11658,1720,1720,1720,0,0,0
56487,2166,2166,2166,0,0,0
56475,1873,0,0,0,0,0
11735,235,0,0,0,0,0
56424,20588,920,920,0,0,0
11719,519,0,0,0,0,0
103624,-14,0,0,0,0,0
11025,-400,6901,0,0,0,6901
56463,943,0,0,0,0,0
11734,8835,970,970,0,0,0
11686,4543,0,0,0,0,0
11685,98,0,0,0,0,0
10939,-912,0,0,0,0,0
11714,2055,0,0,0,0,0
11737,130,0,0,0,0,0
56495,1504,0,0,0,0,0
56437,-1281,0,0,0,0,0
56491,1614,0,0,0,0,0
total due: 50764, total paid: 15728
11-2017
56271,41913,0,0,0,0,0
total due: 41913, total paid: 0
11-2017
